theme,quote_rank,review_id,airline,source,review_date,rating,is_synthetic,quote_excerpt
delay frustration,1,skytrax_airline_reviews_c6457586cfa2,El Al Israel Airlines,Skytrax User Reviews Dataset,2015-02-24,1.0,False,El Al Israel Airlines customer review | B767 Toronto-Tel Aviv-Toronto. Very old plane 12.5 hours flight w/o entertainment. Delay of 3.5 hours because of the technical problems. On the way back all the passengers got out w/o luggage. We received it next day. Never again. I'll t...
delay frustration,2,skytrax_airline_reviews_03b790671c6e,Dragonair,Skytrax User Reviews Dataset,2013-12-23,5.0,False,Dragonair customer review | Flight from HKG to TPE December 19 2013. Flight delayed by almost 1 hour. Boarding procedure is very slow. Aircraft used was an old A330. Seats though wide and comfy for an economy is really old and needs upholstery. Food however is terrible and the...
delay frustration,3,skytrax_airline_reviews_b9b156f5642e,Aer Lingus,Skytrax User Reviews Dataset,2013-10-15,10.0,False,Aer Lingus customer review | DUB to MAN one way. Very early flight but crew very friendly and helpful. Left on time but slight delay landing in Manchester due to fog. Pilot informative about weather throughout the flight. Flight very smooth with comfortable seating. Fly often...
cancellation stress,1,skytrax_airline_reviews_6429da1525c6,Yemenia,Skytrax User Reviews Dataset,2009-07-17,7.0,False,Yemenia customer review | ADD-AMM via Sanaa. Overnight in Sanaa where Yemenia provide hotel and breakfast. Pleasant flight attendants and acceptable food. A good flight and a lot cheaper than competitors. I had to change this flight and put it forward by one week which was no...
cancellation stress,2,skytrax_airline_reviews_383d766d1b30,Ana All Nippon Airways,Skytrax User Reviews Dataset,2013-11-10,2.0,False,ANA All Nippon Airways customer review | The seats! Took an overnight flight from Yangon to Narita and experienced the fixed seats - an unsuccessful attempt at fooling passengers into believing that they can sit in a relaxed position. Service and food were good but given the o...
cancellation stress,3,skytrax_airline_reviews_0ffaf76c6f83,Eastern Airways,Skytrax User Reviews Dataset,2013-05-27,1.0,False,Eastern Airways customer review | Norwich-Aberdeen and Aberdeen-Norwich route. Absolutely atrocious service late departures cancelled flights at the last moment and worse of all no customer care in fact you are treated with competent. What a breath of fresh air it is when you...
refund difficulty,1,skytrax_airline_reviews_7c584c1e7811,Bahamasair,Skytrax User Reviews Dataset,2006-10-26,,False,Bahamasair customer review | We were booked on a Bahamsair flight form George Town to Nassau the flight failed to turn up and we had to use another carrier. Had it not been for the kindness of the staff in Nassau we would have missed our flight to the UK. We are still trying t...
refund difficulty,2,skytrax_airline_reviews_0169effb2e79,Cebu Pacific,Skytrax User Reviews Dataset,2011-01-02,,False,Cebu Pacific customer review | We had to cancel our flight with CEBU one week before we traveled due to a work emergency and they charged us approx 50% fee to do so then would only refund the remaining 50% in travel credit which must be used in 90 days. This company is predato...
refund difficulty,3,skytrax_airline_reviews_cb39683b83f1,Tigerair,Skytrax User Reviews Dataset,2011-10-10,,False,Tigerair customer review | Tigerair took our money confirmed our seats the day before. We flew in from NZ the night before collected our daughter and fronted up at 5am as requested for the 7am flight to Perth only to be told the flight was cancelled. No apologies and no help o...
rebooking friction,1,skytrax_airline_reviews_c642033ddf2d,Tap Portugal,Skytrax User Reviews Dataset,2014-09-28,1.0,False,TAP Portugal customer review | Denied boarding on TP322 21st Sept Lisbon to Manchester - overbooked. Ok but then spent over 4 hours trying to recover bags and rebook with the worst bunch of staff and processes I could imagine. Numerous other minor niggles followed including tr...
rebooking friction,2,skytrax_airline_reviews_bcb8eb2f0314,Air Astana,Skytrax User Reviews Dataset,2014-02-21,9.0,False,Air Astana customer review | KC 110 and KC 949 31st January. KC 950 18th February. Air Astana is a very good airline. Staff are friendly and helpful. Because of the demonstrations in Bangkok we had to rebook our flights. Air Astana offered us a free upgrade to Ho Chi Minh City...
rebooking friction,3,skytrax_airline_reviews_56276e8d001d,Lufthansa,Skytrax User Reviews Dataset,2015-06-23,2.0,False,"Lufthansa customer review | Quick check in, though staff weren't friendly. Delayed flight resulted in missed connection - no apologies or customer service. I was left to fend for myself in a 30 min wait to get rebooked. Rebooking agent acted like she was doing me a favour. Sta..."
poor communication,1,skytrax_airline_reviews_19f2b5143b77,Air France,Skytrax User Reviews Dataset,2015-02-18,4.0,False,Air France customer review | Flew CDG-DTW on Delta code-shared flight. New AF seats are very uncomfortable compared to the ones before and less room for the legs. Food was OK though not particularly tasty or healthy. The flight was an hour late with no explanation and assistan...
poor communication,2,skytrax_airline_reviews_19770d36b8ab,Airasia,Skytrax User Reviews Dataset,2012-03-27,7.0,False,"AirAsia customer review | LGK-SIN. No frills as expected aircraft was clean service efficient flight delayed 30 minutes but made up some time in its turnaround at LGK. A320 seats were rather cramped with minimal legroom for an average sized ""westerner"". Some English cabin anno..."
poor communication,3,skytrax_airline_reviews_5e0908003794,China Eastern Airlines,Skytrax User Reviews Dataset,2015-05-22,7.0,False,China Eastern Airlines customer review | From Kunming to Dakha and return a few days later. Flights slightly delayed. Airplane clean. Food inedible. Announcements in English not readable. No recognition of Gold Skyteam membership. Sometimes one can really not understand how th...
baggage problems,1,skytrax_airline_reviews_c6457586cfa2,El Al Israel Airlines,Skytrax User Reviews Dataset,2015-02-24,1.0,False,El Al Israel Airlines customer review | B767 Toronto-Tel Aviv-Toronto. Very old plane 12.5 hours flight w/o entertainment. Delay of 3.5 hours because of the technical problems. On the way back all the passengers got out w/o luggage. We received it next day. Never again. I'll t...
baggage problems,2,skytrax_airline_reviews_cc7836fb984f,Easyjet,Skytrax User Reviews Dataset,2013-06-25,8.0,False,easyJet customer review | London Stansted to Split 18th June 2013 returning 25th June. Boringly efficient and on time. Just about enough leg room. Only fly in the ointment was the theft of my wife's shoes from the security carousel at Stansted: good job we were hand baggage pa...
baggage problems,3,skytrax_airline_reviews_342cc7baa269,Aer Lingus,Skytrax User Reviews Dataset,2013-01-22,10.0,False,Aer Lingus customer review | Did my usual Christmas route LHR-SNN-LHR. All in all it was a great flight no delays staff were extremely friendly as always check-in was simple and they also offered to check in my carry on luggage free of charge. If Aer Lingus flew from Stansted...
staff helpfulness,1,skytrax_airline_reviews_34837286ed85,Air France,Skytrax User Reviews Dataset,2014-02-17,9.0,False,Air France customer review | I flew from Stockholm Arlanda to Paris CDG on the 11th February. It was a very pleasant flight. Probably my best medium-haul flight with Air France. The staff was very nice and helpful. I think that the meal proposed could have been better it was v...
staff helpfulness,2,skytrax_airline_reviews_b9b156f5642e,Aer Lingus,Skytrax User Reviews Dataset,2013-10-15,10.0,False,Aer Lingus customer review | DUB to MAN one way. Very early flight but crew very friendly and helpful. Left on time but slight delay landing in Manchester due to fog. Pilot informative about weather throughout the flight. Flight very smooth with comfortable seating. Fly often...
staff helpfulness,3,skytrax_airline_reviews_b3deacf05240,Alitalia,Skytrax User Reviews Dataset,2013-09-15,7.0,False,Alitalia customer review | FCO-CDG-FCO. Departures and arrivals on time the flights were pleasant both times on a A321. Staff professional but worked without smiling at all food service requires an improvement only a packet of sweet or salty biscuits and a drink. I will contin...
customer support responsiveness,1,skytrax_airline_reviews_9b4817fc421e,Wizz Air,Skytrax User Reviews Dataset,2011-09-03,9.0,False,Wizz Air customer review | Staff onboard are kind and pleasant carriers are clean and comfortable. Airport staff are rude and not professional at all. There are no Wizz Air staff responsible to take info or complaints. Being a low cost company does not compromise not having an...
customer support responsiveness,2,skytrax_airline_reviews_1b418c9379fe,Tigerair,Skytrax User Reviews Dataset,2011-05-18,,False,Tigerair customer review | Disgraceful. Flight cancelled via text 10pm night before 6am flight. Staff very unhelpful after waiting on hold for close to an hour. Lost $250 car hire and $450 accommodation fees. Never use Tiger again. Flight shows as sold out on web and still sch...
customer support responsiveness,3,skytrax_airline_reviews_aab0a67183ec,Air New Zealand,Skytrax User Reviews Dataset,2014-08-26,9.0,False,Air New Zealand customer review | Consistently excellent. Staff always really genuinely friendly (or outstanding actors/actresses!). Food and wine good or excellent. Cuddle class is a revelation only used it once. Business fantastic but economy good too. Respond to e-mails ver...
pricing / compensation dissatisfaction,1,skytrax_airline_reviews_c5c6dd19cf94,Finnair,Skytrax User Reviews Dataset,2012-09-20,2.0,False,"Finnair customer review | The inflight entertainment system did not work nor did the reading lights. (A big issue on an overnight flight.) As ""compensation"" we were offered gift vouchers for 20 Euros. Uncomfortable seats bad food. I will only ever fly Finnair again if they are..."
pricing / compensation dissatisfaction,2,skytrax_airline_reviews_0169effb2e79,Cebu Pacific,Skytrax User Reviews Dataset,2011-01-02,,False,Cebu Pacific customer review | We had to cancel our flight with CEBU one week before we traveled due to a work emergency and they charged us approx 50% fee to do so then would only refund the remaining 50% in travel credit which must be used in 90 days. This company is predato...
pricing / compensation dissatisfaction,3,skytrax_airline_reviews_b04c677db1a1,Air Serbia,Skytrax User Reviews Dataset,2014-05-20,1.0,False,Air Serbia customer review | In 40 years of travelling this was the first time that an airline could not offer hot drinks due to lack of hot water. On a different matter how is it possible to assess an airline without addressing their Baggage and Compensation issues which are...
digital / app / website issues,1,skytrax_airline_reviews_94d041e5977b,Air Arabia,Skytrax User Reviews Dataset,2006-08-25,,False,Air Arabia customer review | It's a boon for business travellers who travel regularly within GCC. Excellent flight timings friendly staff on-time departures / arrivals and quality food on board at nominal price makes it ideal in terms of value for money. However the best featu...
digital / app / website issues,2,skytrax_airline_reviews_e1df1d62060c,Iberia,Skytrax User Reviews Dataset,2013-06-07,,False,Iberia customer review | LHR-MAD-LIM and UIO-MAD-LHR. Could not check in online for outbound flight. Delayed on inbound flight and cases lost for 24 hours. Not enough cabin staff. Food consistently horrible. Could not see overhead screens. Headphone socket broken on outbound f...
digital / app / website issues,3,skytrax_airline_reviews_896370cf221d,Flydubai,Skytrax User Reviews Dataset,2012-07-24,2.0,False,flydubai customer review | Have been using Flydubai for a year now on average 10 flights a month and in that time not one flight has departed on time and numerous flights cancelled. Everything about this airline falls short of recognised customer service levels nothing is gear...
trust / loyalty damage,1,skytrax_airline_reviews_967a48bbfe07,Spirit Airlines,Skytrax User Reviews Dataset,2014-03-04,1.0,False,Spirit Airlines customer review | Worst customer service! I clicked checked bag instead of carry on when buying my flight and they charged me an additions $70 at the gate on top of the $30 I had already paid. They told me that was the only other option was to not get on the fl...
trust / loyalty damage,2,skytrax_airline_reviews_ac94b64e5c67,Spirit Airlines,Skytrax User Reviews Dataset,2014-01-06,,False,Spirit Airlines customer review | Terrible - 4.5 hour delay leaving Atlanta they offered food vouchers while we waited they ran out of them by the time I got to the counter. The Gate people were low end not professional. Flight home from Ft. Lauderdale was better but not good....
trust / loyalty damage,3,skytrax_airline_reviews_6ad9d7481bea,Olympic Air,Skytrax User Reviews Dataset,2013-07-24,1.0,False,Olympic Air customer review | Flew OA on 21st July Athens - Corfu route. Flight operated by bombardier Q800 aircraft. Before take off cabin was too hot. Airplane is not convenient if you have special needs. Aisle was very thin and the toilet was so small it was hard to move wi...
successful recovery experience,1,skytrax_airline_reviews_8a435a2ee9d0,Gulf Air,Skytrax User Reviews Dataset,2014-04-02,10.0,False,Gulf Air customer review | Mar 29 BAH-KHI economy. No complaints on A320. IFE was good food was better than expected. Timely arrival. Courteous service. Looks like this airline has just woken up to the competition from Emirates Qatar flydubai etc. and is trying not to be left...
successful recovery experience,2,skytrax_airline_reviews_3ac5975b6da9,Finnair,Skytrax User Reviews Dataset,2011-06-15,9.0,False,Finnair customer review | DEL-HEL-VIE A330. New A330 with full flat seats. Food good crew professional. I missed my connection to VIE due to a storm in HEL (3h delay). Finnair rebooked me the same evening via Stockholm to Vienna (SK and OS) so I arrived only 4 hours behind sch...
successful recovery experience,3,skytrax_airline_reviews_790337dbc0c8,Aeroflot Russian Airlines,Skytrax User Reviews Dataset,2015-06-14,9.0,False,"Aeroflot Russian Airlines customer review | Excellent service, much better than expected. The Delhi-Moscow journey was good except for the IFE, the Moscow-New York leg was excellent. The meal served was excellent and the seats were pretty comfortable. The Moscow airport connec..."
